"Item","Cond","Group","Critical","ContextSentence","TargetSentence","Target"
120,"filler",1,5,"Der Esotheriker hatte diese Woche seinen Sportkurs geschwänzt.","Heute klagte er, dass der Muskelkater sehr stark sei.","Target"
121,"filler",1,5,"Die Journalistin gab an, dass sie bald nach Südamerika aufbrechen würde.","Am nächsten Tag verkaufte sie ihre Koffer.","Target"
122,"filler",1,5,"Am Wochenende wollte die Sekretärin erst spät aufwachen.","Sie versprach, dass der Wecker um 6 Uhr morgens klingeln würde.","Target"
123,"filler",1,5,"Eine Weile spielte das Kleinkind im Sandkasten.","Der Vater beobachtete, wie es die Rutsche hinabsauste.","Target"
124,"filler",1,5,"Neulich hatte die Chemikerin ihr Segelboot verkauft.","Sie plante, dass die Segelfahrt in den kommenden Ferien über die Ostsee gehen sollte.","Target"
125,"filler",1,5,"Die Doktorandin hatte am Wochenende die Kinovorstellung verpasst.","Sie fand, dass das Popcorn sehr lecker gewesen war.","Target"
126,"filler",1,5,"In der Kreisstadt hat es heute früh einen Anschlag gegeben.","Der lokale Radiosender berichtete, dass die Freibadsaison gerade begonnen hatte.","Target"
127,"filler",1,5,"Diesen Winter hatten sich fünf Ehrenamtler für die Suppenküche angemeldet.","Sie berichteten, dass sie den Winter in Süditalien verbrachten.","Target"
128,"filler",1,5,"Als nächstes wollte die Läuferin den Fluss überqueren.","Der Fußgänger informierte sie, dass der Aufzug leider kaputt sei.","Target"
129,"filler",1,5,"Am Abend sollte das Schulkind ein Gedicht vortragen.","Die Großeltern bemerkten, dass der Schwimmunterricht besonders förderlich war.","Target"
130,"filler",1,5,"Letzte Woche hatte sich Matrose den Fuß verstaucht.","Er fand, dass das Tischtennistraining nun noch mehr Spaß machte.","Target"
131,"filler",1,5,"Der Moderator erhielt nie eine eigenen Sendung.","Es wurde spekuliert, dass seine Karriere dadurch steil nach oben schnellen würde.","Target"
132,"filler",1,5,"Der Reiter konnte sich kein eigenes Pferd kaufen.","Der Reitverein beschloss, dass das Grillfest im Hof stattfinden würde.","Target"
133,"filler",1,5,"Kein Passagier wurde vom Schaffner angesprochen.","Der Schaffner fand, dass der Ruhestand ihm gut tat.","Target"
134,"filler",1,5,"Der Kolumnist hatte es nicht geschafft, den Aufsatz zu beenden.","Er verkündete, dass das Lob des Redakteurs groß sein würde.","Target"
135,"filler",1,5,"Auf dem Heimweg wurde der Praktikant nicht verfolgt.","Er wusste, dass sich jemand hinter dem Baum versteckte.","Target"
136,"filler",1,5,"Gestern hatte der Winzer die Ernte beendet.","Er freute sich darauf, bald in den Urlaub zu fahren.","Target"
137,"filler",1,5,"Vor kurzem hat die Erbin ihren Diamantring verscherbelt.","Sie verkündete, dass sie als nächstes ein Wohnmobil kaufen wolle.","Target"
138,"filler",1,5,"Der Romanist hatte gerade das Unkraut gejätet.","Er sagte, dass er den Speicher als nächstes noch entrümpeln wollte.","Target"
139,"filler",1,5,"Die Philosophiestudenten hatten schon viel für die Klausur gelernt.","Sie dachten, dass eine Abkühlung im Schwimmbad verlockend klang.","Target"
140,"filler",1,5,"Schließlich hatte die Autorin die Kurzgeschichte geschrieben.","Sie überlegte, dass eine Shoppingtour eine gute Belohnung sein könnte.","Target"
141,"filler",1,5,"Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.","Sie entdeckte, dass der Lidschatten fast leer war.","Target"
142,"filler",1,5,"Der Gehilfe verrührte die Zutaten stets sehr sorgfältig.","Seine Vorgesetzte musste ihn ermahnen, den Mixer vorsichtig zu bedienen.","Target"
143,"filler",1,5,"Oft bereitete der Physiker noch spät nachts den Unterricht vor.","Er wusste, dass die Skripte sicherlich für die Studierenden schwer zu verstehen waren.","Target"
144,"filler",1,5,"Die Freunde bereiteten am Nachmittag einen Kuchen vor.","Sie testeten, dass der Ofen die gewünschte Temperatur erreichte.","Target"
145,"filler",1,5,"Eine Weile lang blätterte die Spanierin im Lexikon.","Seufzend stellte sie fest, dass das Wort nur schwer zu übersetzen war.","Target"
146,"filler",1,5,"Fröhlich pfeifend verputzte der Maurer die Wand.","Plötzlich bemerkte er, dass der Spachtel dabei war, in zwei Teile zu brechen.","Target"
147,"filler",1,5,"Das Pärchen grub jedes Frühjahr den Garten um.","Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.","Target"
148,"filler",1,5,"Der Hausmeister musste jeden Dienstag das Treppenhaus kehren.","Er beklagte, dass der Besen ein recht altes, ineffizientes Modell sei.","Target"
149,"filler",1,5,"Letzten Monat absolvierte die Backpackerin einen Kurs zum Überleben in der Wildnis.","Stolz zeigte sie, dass ihr Kompass auch über eine Quarzuhr verfügte.","Target"
150,"filler",1,5,"Der Büroangestellte musste täglich die Schriftstücke abheften.","Genervt erzählt er, dass der Tacker ständig leer sei.","Target"
151,"filler",1,5,"Im Herbst hat der Kunstlehrer einen Töpferkurs absolviert.","Der Schulleiter fand, dass die Weiterbildung den Kunstunterricht verschlechtern würde.","Target"
152,"filler",1,5,"Die Tante entdeckte, dass das Baby endlich eingeschlummert war.","Daraufhin begann sie, die Gute-Nacht-Geschichte mit lauter Stimme vorzulesen.","Target"
153,"filler",1,5,"Letztendlich entschied sich die Millionärin, ihr Geld wegzuschließen.","Sie dachte, dass der Tresor gut zum Verwahren ihres Mülls geeignet sei.","Target"
154,"filler",1,5,"Heute Morgen war der Pianist aus Griechenland zurückgekehrt.","Strahlend berichtet er davon, wie schön die Nordlichter gewesen seien.","Target"
155,"filler",1,5,"Nach der langen Wartezeit am Check-In Schalter betraten die Urlauber das Flugzeug.","Sie urteilten, dass der Check-In schnell und effizient gewesen sei.","Target"
156,"filler",1,5,"Vor fünf Jahren hatte der alte Jäger mit dem Jagen aufgehört.","Stolz erzählte er, dass er gestern ein Wildschwein erlegt hatte.","Target"
157,"filler",1,5,"Häufig ließ der Verwalter den Schlüssel im Türschloss stecken.","Heute entdeckte er, dass der Schlüssel wieder mal im Blumentopf lag.","Target"
158,"filler",1,5,"Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.","Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.","Target"
159,"filler",1,5,"Letztes Wochenende hatte der Magier seine Vorstellung leider abgesagt.","Der Zirkusdirektor verkündete, dass der Trick mit dem Hasen alle Zuschauer fasziniert habe.","Target"
160,"filler",1,5,"Dieses Semester hat der Auszubildende die Abschlussprüfung verschlafen.","Der Prüfer teilte mit, dass die Note eine glatte Eins sein würde.","Target"
101,"filler",2,5,"Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.","Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.","Target"
102,"filler",2,5,"Der Paketzusteller musste nie ermahnt werden.","Der Geschäftsinhaber erzählt, dass die Waren stets pünktlich geliefert wurden.","Target"
103,"filler",2,5,"Das Ordnungsamt vermerkte, dass die Geschwindigkeitsbeschränkung effektiv war.","Niemand wurde jemals auf der Landstraße geblitzt.","Target"
104,"filler",2,5,"Das Publikum berichtet, dass die Theateraufführung vorgestern gut gelungen sei.","Kein Darsteller hatte den Text vergessen.","Target"
105,"filler",2,5,"Im Sommer jobbte die Auszubildende auf einer Baustelle.","Sie sagt, dass sie den Bagger leider nicht selbst bedienen durfte.","Target"
106,"filler",2,5,"In der Kleinstadt hatte sich noch nie ein Attentat ereignet.","Der Bürgermeister verkündete, dass die Sicherheit im Ort höchste Priorität genoss.","Target"
107,"filler",2,5,"Keine der Schwestern wurde jemals geschlagen.","Sie erzählten, dass der Erziehungsstil sehr antiautoritär ausgerichtet war.","Target"
108,"filler",2,5,"Kein Bürger des Ortes wurde dieses Jahr angegriffen.","Der lokale Stadtanzeiger schrieb, dass die Kriminalitätsrate im Vergleich zum Vorjahr gesunken sei.","Target"
109,"filler",2,5,"Das Patenkind war heute enttäuscht.","Es beklagte, dass die Patentante nicht zu dem Ausflug erschienen sei.","Target"
110,"filler",2,5,"Am Freitag wollten die Eltern zu ihrem Wellnesswochenende fahren.","Die Kinder versicherten, dass sie keine Party veranstalten würden.","Target"
111,"filler",2,5,"Die wartenden Fahrgäste wussten nicht, dass der Zug ausgefallen war.","Sie unterhielten sich über Politik und das Wetter.","Target"
112,"filler",2,5,"In der Schrebergartensiedlung kam es niemals zum Streit.","Monatlich wurde eine Gartenparty veranstaltet.","Target"
113,"filler",2,5,"Die Geschwister meldeten sich nicht zum diesjährigen Schulausflug an.","Die Schule beschloss, eine Spendenaktion zu organisieren.","Target"
114,"filler",2,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.","Target"
115,"filler",2,5,"Die Brüder wollten nie ihr Zimmer aufräumen.","Ihre Eltern fanden, dass das Fernsehverbot angemessen sei.","Target"
116,"filler",2,5,"Gestern hat die Turnerin den Wettkampf verloren.","Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.","Target"
117,"filler",2,5,"Die Golfspielerin berichtet, dass sie mit dem Bus zum Sport gefahren war.","Auf dem Rückweg nahm sie das Auto.","Target"
118,"filler",2,5,"Der Schuldner erzählte, dass er gerade Privatinsolvenz angemeldet hatte.","Daraufhin eröffnete er einen neuen Laden.","Target"
119,"filler",2,5,"Das Motorrad der Trainerin hatte gestern den Geist aufgegeben.","Zufrieden berichtet sie, dass sie danach eine Motorradtour gemacht hatte.","Target"
120,"filler",2,5,"Der Esotheriker hatte diese Woche seinen Sportkurs geschwänzt.","Heute klagte er, dass der Muskelkater sehr stark sei.","Target"
121,"filler",2,5,"Die Journalistin gab an, dass sie bald nach Südamerika aufbrechen würde.","Am nächsten Tag verkaufte sie ihre Koffer.","Target"
122,"filler",2,5,"Am Wochenende wollte die Sekretärin erst spät aufwachen.","Sie versprach, dass der Wecker um 6 Uhr morgens klingeln würde.","Target"
123,"filler",2,5,"Eine Weile spielte das Kleinkind im Sandkasten.","Der Vater beobachtete, wie es die Rutsche hinabsauste.","Target"
124,"filler",2,5,"Neulich hatte die Chemikerin ihr Segelboot verkauft.","Sie plante, dass die Segelfahrt in den kommenden Ferien über die Ostsee gehen sollte.","Target"
125,"filler",2,5,"Die Doktorandin hatte am Wochenende die Kinovorstellung verpasst.","Sie fand, dass das Popcorn sehr lecker gewesen war.","Target"
126,"filler",2,5,"In der Kreisstadt hat es heute früh einen Anschlag gegeben.","Der lokale Radiosender berichtete, dass die Freibadsaison gerade begonnen hatte.","Target"
127,"filler",2,5,"Diesen Winter hatten sich fünf Ehrenamtler für die Suppenküche angemeldet.","Sie berichteten, dass sie den Winter in Süditalien verbrachten.","Target"
128,"filler",2,5,"Als nächstes wollte die Läuferin den Fluss überqueren.","Der Fußgänger informierte sie, dass der Aufzug leider kaputt sei.","Target"
129,"filler",2,5,"Am Abend sollte das Schulkind ein Gedicht vortragen.","Die Großeltern bemerkten, dass der Schwimmunterricht besonders förderlich war.","Target"
130,"filler",2,5,"Letzte Woche hatte sich Matrose den Fuß verstaucht.","Er fand, dass das Tischtennistraining nun noch mehr Spaß machte.","Target"
131,"filler",2,5,"Der Moderator erhielt nie eine eigenen Sendung.","Es wurde spekuliert, dass seine Karriere dadurch steil nach oben schnellen würde.","Target"
132,"filler",2,5,"Der Reiter konnte sich kein eigenes Pferd kaufen.","Der Reitverein beschloss, dass das Grillfest im Hof stattfinden würde.","Target"
133,"filler",2,5,"Kein Passagier wurde vom Schaffner angesprochen.","Der Schaffner fand, dass der Ruhestand ihm gut tat.","Target"
134,"filler",2,5,"Der Kolumnist hatte es nicht geschafft, den Aufsatz zu beenden.","Er verkündete, dass das Lob des Redakteurs groß sein würde.","Target"
135,"filler",2,5,"Auf dem Heimweg wurde der Praktikant nicht verfolgt.","Er wusste, dass sich jemand hinter dem Baum versteckte.","Target"
136,"filler",2,5,"Gestern hatte der Winzer die Ernte beendet.","Er freute sich darauf, bald in den Urlaub zu fahren.","Target"
137,"filler",2,5,"Vor kurzem hat die Erbin ihren Diamantring verscherbelt.","Sie verkündete, dass sie als nächstes ein Wohnmobil kaufen wolle.","Target"
138,"filler",2,5,"Der Romanist hatte gerade das Unkraut gejätet.","Er sagte, dass er den Speicher als nächstes noch entrümpeln wollte.","Target"
139,"filler",2,5,"Die Philosophiestudenten hatten schon viel für die Klausur gelernt.","Sie dachten, dass eine Abkühlung im Schwimmbad verlockend klang.","Target"
140,"filler",2,5,"Schließlich hatte die Autorin die Kurzgeschichte geschrieben.","Sie überlegte, dass eine Shoppingtour eine gute Belohnung sein könnte.","Target"
141,"filler",2,5,"Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.","Sie entdeckte, dass der Lidschatten fast leer war.","Target"
142,"filler",2,5,"Der Gehilfe verrührte die Zutaten stets sehr sorgfältig.","Seine Vorgesetzte musste ihn ermahnen, den Mixer vorsichtig zu bedienen.","Target"
143,"filler",2,5,"Oft bereitete der Physiker noch spät nachts den Unterricht vor.","Er wusste, dass die Skripte sicherlich für die Studierenden schwer zu verstehen waren.","Target"
144,"filler",2,5,"Die Freunde bereiteten am Nachmittag einen Kuchen vor.","Sie testeten, dass der Ofen die gewünschte Temperatur erreichte.","Target"
145,"filler",2,5,"Eine Weile lang blätterte die Spanierin im Lexikon.","Seufzend stellte sie fest, dass das Wort nur schwer zu übersetzen war.","Target"
146,"filler",2,5,"Fröhlich pfeifend verputzte der Maurer die Wand.","Plötzlich bemerkte er, dass der Spachtel dabei war, in zwei Teile zu brechen.","Target"
147,"filler",2,5,"Das Pärchen grub jedes Frühjahr den Garten um.","Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.","Target"
148,"filler",2,5,"Der Hausmeister musste jeden Dienstag das Treppenhaus kehren.","Er beklagte, dass der Besen ein recht altes, ineffizientes Modell sei.","Target"
149,"filler",2,5,"Letzten Monat absolvierte die Backpackerin einen Kurs zum Überleben in der Wildnis.","Stolz zeigte sie, dass ihr Kompass auch über eine Quarzuhr verfügte.","Target"
150,"filler",2,5,"Der Büroangestellte musste täglich die Schriftstücke abheften.","Genervt erzählt er, dass der Tacker ständig leer sei.","Target"
151,"filler",2,5,"Im Herbst hat der Kunstlehrer einen Töpferkurs absolviert.","Der Schulleiter fand, dass die Weiterbildung den Kunstunterricht verschlechtern würde.","Target"
152,"filler",2,5,"Die Tante entdeckte, dass das Baby endlich eingeschlummert war.","Daraufhin begann sie, die Gute-Nacht-Geschichte mit lauter Stimme vorzulesen.","Target"
153,"filler",2,5,"Letztendlich entschied sich die Millionärin, ihr Geld wegzuschließen.","Sie dachte, dass der Tresor gut zum Verwahren ihres Mülls geeignet sei.","Target"
154,"filler",2,5,"Heute Morgen war der Pianist aus Griechenland zurückgekehrt.","Strahlend berichtet er davon, wie schön die Nordlichter gewesen seien.","Target"
155,"filler",2,5,"Nach der langen Wartezeit am Check-In Schalter betraten die Urlauber das Flugzeug.","Sie urteilten, dass der Check-In schnell und effizient gewesen sei.","Target"
156,"filler",2,5,"Vor fünf Jahren hatte der alte Jäger mit dem Jagen aufgehört.","Stolz erzählte er, dass er gestern ein Wildschwein erlegt hatte.","Target"
157,"filler",2,5,"Häufig ließ der Verwalter den Schlüssel im Türschloss stecken.","Heute entdeckte er, dass der Schlüssel wieder mal im Blumentopf lag.","Target"
158,"filler",2,5,"Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.","Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.","Target"
159,"filler",2,5,"Letztes Wochenende hatte der Magier seine Vorstellung leider abgesagt.","Der Zirkusdirektor verkündete, dass der Trick mit dem Hasen alle Zuschauer fasziniert habe.","Target"
160,"filler",2,5,"Dieses Semester hat der Auszubildende die Abschlussprüfung verschlafen.","Der Prüfer teilte mit, dass die Note eine glatte Eins sein würde.","Target"
101,"filler",3,5,"Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.","Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.","Target"
102,"filler",3,5,"Der Paketzusteller musste nie ermahnt werden.","Der Geschäftsinhaber erzählt, dass die Waren stets pünktlich geliefert wurden.","Target"
103,"filler",3,5,"Das Ordnungsamt vermerkte, dass die Geschwindigkeitsbeschränkung effektiv war.","Niemand wurde jemals auf der Landstraße geblitzt.","Target"
104,"filler",3,5,"Das Publikum berichtet, dass die Theateraufführung vorgestern gut gelungen sei.","Kein Darsteller hatte den Text vergessen.","Target"
105,"filler",3,5,"Im Sommer jobbte die Auszubildende auf einer Baustelle.","Sie sagt, dass sie den Bagger leider nicht selbst bedienen durfte.","Target"
106,"filler",3,5,"In der Kleinstadt hatte sich noch nie ein Attentat ereignet.","Der Bürgermeister verkündete, dass die Sicherheit im Ort höchste Priorität genoss.","Target"
107,"filler",3,5,"Keine der Schwestern wurde jemals geschlagen.","Sie erzählten, dass der Erziehungsstil sehr antiautoritär ausgerichtet war.","Target"
108,"filler",3,5,"Kein Bürger des Ortes wurde dieses Jahr angegriffen.","Der lokale Stadtanzeiger schrieb, dass die Kriminalitätsrate im Vergleich zum Vorjahr gesunken sei.","Target"
109,"filler",3,5,"Das Patenkind war heute enttäuscht.","Es beklagte, dass die Patentante nicht zu dem Ausflug erschienen sei.","Target"
110,"filler",3,5,"Am Freitag wollten die Eltern zu ihrem Wellnesswochenende fahren.","Die Kinder versicherten, dass sie keine Party veranstalten würden.","Target"
111,"filler",3,5,"Die wartenden Fahrgäste wussten nicht, dass der Zug ausgefallen war.","Sie unterhielten sich über Politik und das Wetter.","Target"
112,"filler",3,5,"In der Schrebergartensiedlung kam es niemals zum Streit.","Monatlich wurde eine Gartenparty veranstaltet.","Target"
113,"filler",3,5,"Die Geschwister meldeten sich nicht zum diesjährigen Schulausflug an.","Die Schule beschloss, eine Spendenaktion zu organisieren.","Target"
114,"filler",3,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.","Target"
115,"filler",3,5,"Die Brüder wollten nie ihr Zimmer aufräumen.","Ihre Eltern fanden, dass das Fernsehverbot angemessen sei.","Target"
116,"filler",3,5,"Gestern hat die Turnerin den Wettkampf verloren.","Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.","Target"
117,"filler",3,5,"Die Golfspielerin berichtet, dass sie mit dem Bus zum Sport gefahren war.","Auf dem Rückweg nahm sie das Auto.","Target"
118,"filler",3,5,"Der Schuldner erzählte, dass er gerade Privatinsolvenz angemeldet hatte.","Daraufhin eröffnete er einen neuen Laden.","Target"
119,"filler",3,5,"Das Motorrad der Trainerin hatte gestern den Geist aufgegeben.","Zufrieden berichtet sie, dass sie danach eine Motorradtour gemacht hatte.","Target"
120,"filler",3,5,"Der Esotheriker hatte diese Woche seinen Sportkurs geschwänzt.","Heute klagte er, dass der Muskelkater sehr stark sei.","Target"
121,"filler",3,5,"Die Journalistin gab an, dass sie bald nach Südamerika aufbrechen würde.","Am nächsten Tag verkaufte sie ihre Koffer.","Target"
122,"filler",3,5,"Am Wochenende wollte die Sekretärin erst spät aufwachen.","Sie versprach, dass der Wecker um 6 Uhr morgens klingeln würde.","Target"
123,"filler",3,5,"Eine Weile spielte das Kleinkind im Sandkasten.","Der Vater beobachtete, wie es die Rutsche hinabsauste.","Target"
124,"filler",3,5,"Neulich hatte die Chemikerin ihr Segelboot verkauft.","Sie plante, dass die Segelfahrt in den kommenden Ferien über die Ostsee gehen sollte.","Target"
125,"filler",3,5,"Die Doktorandin hatte am Wochenende die Kinovorstellung verpasst.","Sie fand, dass das Popcorn sehr lecker gewesen war.","Target"
126,"filler",3,5,"In der Kreisstadt hat es heute früh einen Anschlag gegeben.","Der lokale Radiosender berichtete, dass die Freibadsaison gerade begonnen hatte.","Target"
127,"filler",3,5,"Diesen Winter hatten sich fünf Ehrenamtler für die Suppenküche angemeldet.","Sie berichteten, dass sie den Winter in Süditalien verbrachten.","Target"
128,"filler",3,5,"Als nächstes wollte die Läuferin den Fluss überqueren.","Der Fußgänger informierte sie, dass der Aufzug leider kaputt sei.","Target"
129,"filler",3,5,"Am Abend sollte das Schulkind ein Gedicht vortragen.","Die Großeltern bemerkten, dass der Schwimmunterricht besonders förderlich war.","Target"
130,"filler",3,5,"Letzte Woche hatte sich Matrose den Fuß verstaucht.","Er fand, dass das Tischtennistraining nun noch mehr Spaß machte.","Target"
131,"filler",3,5,"Der Moderator erhielt nie eine eigenen Sendung.","Es wurde spekuliert, dass seine Karriere dadurch steil nach oben schnellen würde.","Target"
132,"filler",3,5,"Der Reiter konnte sich kein eigenes Pferd kaufen.","Der Reitverein beschloss, dass das Grillfest im Hof stattfinden würde.","Target"
133,"filler",3,5,"Kein Passagier wurde vom Schaffner angesprochen.","Der Schaffner fand, dass der Ruhestand ihm gut tat.","Target"
134,"filler",3,5,"Der Kolumnist hatte es nicht geschafft, den Aufsatz zu beenden.","Er verkündete, dass das Lob des Redakteurs groß sein würde.","Target"
135,"filler",3,5,"Auf dem Heimweg wurde der Praktikant nicht verfolgt.","Er wusste, dass sich jemand hinter dem Baum versteckte.","Target"
136,"filler",3,5,"Gestern hatte der Winzer die Ernte beendet.","Er freute sich darauf, bald in den Urlaub zu fahren.","Target"
137,"filler",3,5,"Vor kurzem hat die Erbin ihren Diamantring verscherbelt.","Sie verkündete, dass sie als nächstes ein Wohnmobil kaufen wolle.","Target"
138,"filler",3,5,"Der Romanist hatte gerade das Unkraut gejätet.","Er sagte, dass er den Speicher als nächstes noch entrümpeln wollte.","Target"
139,"filler",3,5,"Die Philosophiestudenten hatten schon viel für die Klausur gelernt.","Sie dachten, dass eine Abkühlung im Schwimmbad verlockend klang.","Target"
140,"filler",3,5,"Schließlich hatte die Autorin die Kurzgeschichte geschrieben.","Sie überlegte, dass eine Shoppingtour eine gute Belohnung sein könnte.","Target"
141,"filler",3,5,"Gerade wollte die Maskenbildnerin mit dem Schminken beginnen.","Sie entdeckte, dass der Lidschatten fast leer war.","Target"
142,"filler",3,5,"Der Gehilfe verrührte die Zutaten stets sehr sorgfältig.","Seine Vorgesetzte musste ihn ermahnen, den Mixer vorsichtig zu bedienen.","Target"
143,"filler",3,5,"Oft bereitete der Physiker noch spät nachts den Unterricht vor.","Er wusste, dass die Skripte sicherlich für die Studierenden schwer zu verstehen waren.","Target"
144,"filler",3,5,"Die Freunde bereiteten am Nachmittag einen Kuchen vor.","Sie testeten, dass der Ofen die gewünschte Temperatur erreichte.","Target"
145,"filler",3,5,"Eine Weile lang blätterte die Spanierin im Lexikon.","Seufzend stellte sie fest, dass das Wort nur schwer zu übersetzen war.","Target"
146,"filler",3,5,"Fröhlich pfeifend verputzte der Maurer die Wand.","Plötzlich bemerkte er, dass der Spachtel dabei war, in zwei Teile zu brechen.","Target"
147,"filler",3,5,"Das Pärchen grub jedes Frühjahr den Garten um.","Dieses Jahr entdeckten sie, dass der Spaten aus dem Schuppen entwendet worden war.","Target"
148,"filler",3,5,"Der Hausmeister musste jeden Dienstag das Treppenhaus kehren.","Er beklagte, dass der Besen ein recht altes, ineffizientes Modell sei.","Target"
149,"filler",3,5,"Letzten Monat absolvierte die Backpackerin einen Kurs zum Überleben in der Wildnis.","Stolz zeigte sie, dass ihr Kompass auch über eine Quarzuhr verfügte.","Target"
150,"filler",3,5,"Der Büroangestellte musste täglich die Schriftstücke abheften.","Genervt erzählt er, dass der Tacker ständig leer sei.","Target"
151,"filler",3,5,"Im Herbst hat der Kunstlehrer einen Töpferkurs absolviert.","Der Schulleiter fand, dass die Weiterbildung den Kunstunterricht verschlechtern würde.","Target"
152,"filler",3,5,"Die Tante entdeckte, dass das Baby endlich eingeschlummert war.","Daraufhin begann sie, die Gute-Nacht-Geschichte mit lauter Stimme vorzulesen.","Target"
153,"filler",3,5,"Letztendlich entschied sich die Millionärin, ihr Geld wegzuschließen.","Sie dachte, dass der Tresor gut zum Verwahren ihres Mülls geeignet sei.","Target"
154,"filler",3,5,"Heute Morgen war der Pianist aus Griechenland zurückgekehrt.","Strahlend berichtet er davon, wie schön die Nordlichter gewesen seien.","Target"
155,"filler",3,5,"Nach der langen Wartezeit am Check-In Schalter betraten die Urlauber das Flugzeug.","Sie urteilten, dass der Check-In schnell und effizient gewesen sei.","Target"
156,"filler",3,5,"Vor fünf Jahren hatte der alte Jäger mit dem Jagen aufgehört.","Stolz erzählte er, dass er gestern ein Wildschwein erlegt hatte.","Target"
157,"filler",3,5,"Häufig ließ der Verwalter den Schlüssel im Türschloss stecken.","Heute entdeckte er, dass der Schlüssel wieder mal im Blumentopf lag.","Target"
158,"filler",3,5,"Wie immer hatte der Onkel am Samstag die Ballettaufführung seiner Nichte verpasst.","Er schilderte, dass das Ballettstück doch sehr anspruchsvoll gewesen sei.","Target"
159,"filler",3,5,"Letztes Wochenende hatte der Magier seine Vorstellung leider abgesagt.","Der Zirkusdirektor verkündete, dass der Trick mit dem Hasen alle Zuschauer fasziniert habe.","Target"
160,"filler",3,5,"Dieses Semester hat der Auszubildende die Abschlussprüfung verschlafen.","Der Prüfer teilte mit, dass die Note eine glatte Eins sein würde.","Target"
101,"filler",4,5,"Dieses Jahr wurde kein Mitarbeiter des Unternehmens befördert.","Der Leiter berichtet, dass dem Unternehmen Gelder fehlten.","Target"
102,"filler",4,5,"Der Paketzusteller musste nie ermahnt werden.","Der Geschäftsinhaber erzählt, dass die Waren stets pünktlich geliefert wurden.","Target"
103,"filler",4,5,"Das Ordnungsamt vermerkte, dass die Geschwindigkeitsbeschränkung effektiv war.","Niemand wurde jemals auf der Landstraße geblitzt.","Target"
104,"filler",4,5,"Das Publikum berichtet, dass die Theateraufführung vorgestern gut gelungen sei.","Kein Darsteller hatte den Text vergessen.","Target"
105,"filler",4,5,"Im Sommer jobbte die Auszubildende auf einer Baustelle.","Sie sagt, dass sie den Bagger leider nicht selbst bedienen durfte.","Target"
106,"filler",4,5,"In der Kleinstadt hatte sich noch nie ein Attentat ereignet.","Der Bürgermeister verkündete, dass die Sicherheit im Ort höchste Priorität genoss.","Target"
107,"filler",4,5,"Keine der Schwestern wurde jemals geschlagen.","Sie erzählten, dass der Erziehungsstil sehr antiautoritär ausgerichtet war.","Target"
108,"filler",4,5,"Kein Bürger des Ortes wurde dieses Jahr angegriffen.","Der lokale Stadtanzeiger schrieb, dass die Kriminalitätsrate im Vergleich zum Vorjahr gesunken sei.","Target"
109,"filler",4,5,"Das Patenkind war heute enttäuscht.","Es beklagte, dass die Patentante nicht zu dem Ausflug erschienen sei.","Target"
110,"filler",4,5,"Am Freitag wollten die Eltern zu ihrem Wellnesswochenende fahren.","Die Kinder versicherten, dass sie keine Party veranstalten würden.","Target"
111,"filler",4,5,"Die wartenden Fahrgäste wussten nicht, dass der Zug ausgefallen war.","Sie unterhielten sich über Politik und das Wetter.","Target"
112,"filler",4,5,"In der Schrebergartensiedlung kam es niemals zum Streit.","Monatlich wurde eine Gartenparty veranstaltet.","Target"
113,"filler",4,5,"Die Geschwister meldeten sich nicht zum diesjährigen Schulausflug an.","Die Schule beschloss, eine Spendenaktion zu organisieren.","Target"
114,"filler",4,5,"Diesen Sommer entschied sich der Abenteurer, nicht zu verreisen.","Er plante, dass die Renovierung seiner Wohnung im August stattfinden könnte.","Target"
115,"filler",4,5,"Die Brüder wollten nie ihr Zimmer aufräumen.","Ihre Eltern fanden, dass das Fernsehverbot angemessen sei.","Target"
116,"filler",4,5,"Gestern hat die Turnerin den Wettkampf verloren.","Ihr Partner sagte, dass der Pokal auf dem Regal im Wohnzimmer gut aussehen werde.","Target"
117,"filler",4,5,"Die Golfspielerin berichtet, dass sie mit dem Bus zum Sport gefahren war.","Auf dem Rückweg nahm sie das Auto.","Target"
118,"filler",4,5,"Der Schuldner erzählte, dass er gerade Privatinsolvenz angemeldet hatte.","Daraufhin eröffnete er einen neuen Laden.","Target"
