"Item","Cond","ProductionPercentage","AssociationRating","InferenceRating","CoherenceRating","ContextSentence","ContextEvent","TargetSentence","Target","Continuation","InferenceType","InferenceQuestion","NegationType","TargetVerb","ProductionQuestion","ProductionList","ProductionResponsesAll","ProductionFreqList"
13,"A",0.67,6.5,7,6.2,"Vorgestern ist in der Siedlung ein Auto","explodiert.","Die Gemeinde erfuhr, dass die","Bombe","in der vorangegangenen Nacht platziert wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass das Auto explodiert ist?","kein+jemals","erfahren","Etwas ist explodiert.",1,"Bombe, Auto, Haus - Bombe, Krieg, Gefahr - Bombe, Feuer, Krieg - Bombe, Krach, Feuer - Bombe, Haus, Krankenwagen - Bombe, Rauch, Schaden - Bombe, Attentat, Straße - Krieg, Unfall, Chemie - Explosion, Sprengstoff, Verletzung, Gas, - Explosion, Feuer, Knall - Bombe, Gas, Knallkörper, Silvester, Krieg - Blitz, Wolke, Feuer - Bombe, Feuer, Verletzte - Bombe, Feuer, Zerstörung - Feuer, Verletzung, Verbrennung","Bombe 10 Feuer 7 Krieg 4 Explosion 2 Gas 2 Haus 2 Verletzung 2 Attentat 1 Auto 1 Blitz 1 Chemie 1 Gefahr 1 Knall 1 Knallkörper 1 Krach 1 Krankenwagen 1 Rauch 1 Schaden 1 Silvester 1 Sprengstoff 1 Straße 1 Unfall 1 Verbrennung 1 Verletzte 1 Wolke 1 Zerstörung 1"
13,"B",0,4.9,5.7,6.1,"Vorgestern ist in der Siedlung ein Auto","beschädigt worden.","Die Gemeinde erfuhr, dass die","Bombe","in der vorangegangenen Nacht platziert wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass das Auto explodiert ist?","kein+jemals","erfahren","Etwas ist beschädigt worden.",2,"Auto, Straße, Haus - Anzeige, Kratzer, Bruch - Kaputt, Aufwand, Neu - Glas, Porzellan, Lack - Ansehen, Auto, Reputation - Kosten, Reparatur, Schuld - Versicherung, Auto, Geld - Sachbeschädigung, Gegenstand, Randale - Vase, Handy, Vertrauen - Reparatur, Werkzeugkasten, Ärger - Vase, Wertgegenstand, Preis - Sturz, Panzerband, Ehre - Teuer, Ärger, Strafe - Auto, Haar, Sendung - Teller, Tasse, Computer, Auto","Auto 5 Ärger 2 Reparatur 2 Vase 2 Ansehen 1 Anzeige 1 Aufwand 1 Bruch 1 Computer 1 Ehre 1 Gegenstand 1 Geld 1 Glas 1 Haar 1 Handy 1 Haus 1 Kaputt 1 Kosten 1 Kratzer 1 Lack 1 Neu 1 Panzerband 1 Porzellan 1 Preis 1 Randale 1 Reputation 1 Sachbeschädigung 1 Schuld 1 Sendung 1 Strafe 1 Straße 1 Sturz 1 Tasse 1 Teller 1 Teuer 1 Versicherung 1 Vertrauen 1 Werkzeugkasten 1 Wertgegenstand 1"
13,"C",NA,6.5,2.8,1.6,"Kein Auto in der Siedlung ist jemals","explodiert.","Die Gemeinde erfuhr, dass die","Bombe","in der vorangegangenen Nacht platziert wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Auto explodiert ist?","kein+jemals","erfahren",NA,NA,NA,NA
13,"D",NA,4.9,2.5,2.6,"Kein Auto in der Siedlung ist jemals","beschädigt worden.","Die Gemeinde erfuhr, dass die","Bombe","in der vorangegangenen Nacht platziert wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Auto explodiert ist?","kein+jemals","erfahren",NA,NA,NA,NA
14,"A",0.73,7,6.6,6.4,"Am Wochenende hat die Villa am Stadtrand","gebrannt.","Die Nachbarn merkten, dass das","Feuer","schnell außer Kontrolle geriet.","instrument","Für wie wahrscheinlich halten Sie es, dass die Villa gebrannt hat?","nie","merken","Etwas hat gebrannt.",2,"Feuer, Wasser, Holz - Papier, Holz, Wald - Feuer, Wald, Wasser - Feuer, Haus, Feuerwehr - Feuer, Rauch, Geruch - Feuer, Haus, Ofen - Bücherei, Feuer, Schale, Axt - Haus, Auto, Scheune - Haus, Feuer, Holz - Haus, Feuer, Rauch, Feuerwehr, Wasser - Haus, Flammen, Essen - Feuer, Flamme, Hitze - Beschleuniger, Stiftung, Löschwasser - Feuerwehr, Wasser, Schaden - Haus, Auto, Lagerfeuer","Feuer 9 Haus 7 Wasser 4 Feuerwehr 3 Holz 3 Auto 2 Rauch 2 Wald 2 Axt 1 Beschleuniger 1 Bücherei 1 Essen 1 Flamme 1 Flammen 1 Geruch 1 Hitze 1 Lagerfeuer 1 Löschwasser 1 Ofen 1 Papier 1 Schaden 1 Schale 1 Scheune 1 Stiftung 1"
14,"B",0,5.3,6.9,5.5,"Am Wochenende hat die Villa am Stadtrand","Schaden genommen.","Die Nachbarn merkten, dass das","Feuer","schnell außer Kontrolle geriet.","instrument","Für wie wahrscheinlich halten Sie es, dass die Villa gebrannt hat?","nie","merken","Etwas hat Schaden genommen.",1,"Verlust, Verletzung, Unheil - Versicherung, Geld, Reparatur - Schutt, Randale, Gewalt - Lebenspunkte, Delle, Kratzer - Autounfall,Sturz, Defekt - Seele, Auto, Körper, Heilung, Versicherung - Riss, Bruch, Mauer - Frust, Ärger, Porzellan - Reparatur, Hilfe, Werkzeug - Zerstörung, Bruchstück, Kratzer - Absicht, Versehen, Reparatur - Sachbeschädigung, Auto, Wand - Vorfall, Unfall, Geld - Vase, Scherbe, Bruch - Zerstörung, Verletzung, Kratzer,","Kratzer 3 Reparatur 3 Auto 2 Bruch 2 Geld 2 Verletzung 2 Versicherung 2 Zerstörung 2 Absicht 1 Ärger 1 AutounfallSturz 1 Bruchstück 1 Defekt 1 Delle 1 Frust 1 Gewalt 1 Heilung 1 Hilfe 1 Körper 1 Lebenspunkte 1 Mauer 1 Porzellan 1 Randale 1 Riss 1 Sachbeschädigung 1 Scherbe 1 Schutt 1 Seele 1 Unfall 1 Unheil 1 Vase 1 Verlust 1 Versehen 1 Vorfall 1 Wand 1 Werkzeug 1"
14,"C",NA,7,3.4,1.5,"Die Villa am Stadtrand hat nie","gebrannt.","Die Nachbarn merkten, dass das","Feuer","schnell außer Kontrolle geriet.","instrument","Für wie wahrscheinlich halten Sie es, dass die Villa gebrannt hat?","nie","merken",NA,NA,NA,NA
14,"D",NA,5.3,3.6,1.4,"Die Villa am Stadtrand hat nie","Schaden genommen.","Die Nachbarn merkten, dass das","Feuer","schnell außer Kontrolle geriet.","instrument","Für wie wahrscheinlich halten Sie es, dass die Villa gebrannt hat?","nie","merken",NA,NA,NA,NA
16,"A",0.13,6.6,6.4,6.8,"Während der Nacht hat der Friseur das Dokument","verbrannt.","Er erfuhr, dass die","Asche","später zur Beweissicherung sichergestellt wurde.","consequence","Für wie wahrscheinlich halten Sie es, dass der Friseur das Dokument verbrannt hat?","nicht","erfahren","Jemand hat etwas verbrannt.",2,"Feuer, Asche, Benzin - Holz, Buch, Kamin - Feuer, Kerze, Papier - Feuer, Rauch, Asche - Feuer, Wasser, Rauch - Gartenlaub, Papiere, Beweise - Feuerzeug, Papier, Holz, Feuer, Hitze - Feuer, Dokumente, Politiker, Kriminelle - Haus, Müll, Dokumente - Tonne, Feuer, Benzin - Papier, Holz, Kohle - Feuer, Papier, Feuerholz - Feuer, Heiß, Zerstörung - Feuer, Holz, Brief - Feuer, Feuerholz, Lagerfeuer, Hitze","Feuer 11 Holz 4 Papier 4 Asche 2 Benzin 2 Dokumente 2 Feuerholz 2 Hitze 2 Rauch 2 Beweise 1 Brief 1 Buch 1 Feuerzeug 1 Gartenlaub 1 Haus 1 Heiß 1 Kamin 1 Kerze 1 Kohle 1 Kriminelle 1 Lagerfeuer 1 Müll 1 Papiere 1 Politiker 1 Tonne 1 Wasser 1 Zerstörung 1"
16,"B",0,5.2,6.2,6.4,"Während der Nacht hat der Friseur das Dokument","vernichtet.","Er erfuhr, dass die","Asche","später zur Beweissicherung sichergestellt wurde.","consequence","Für wie wahrscheinlich halten Sie es, dass der Friseur das Dokument verbrannt hat?","nicht","erfahren","Jemand hat etwas vernichtet.",1,"Feuer, Schredder, Papier - Papier, Geheimnis, Feuer - Beweis, Feuer, Schredder - Feuer, Papier, Scheu - Schredder, Dokumente, Akten - Papier, Feuer, Vernichtung, Beweise, Holz, - Reisswolf, Existenz, Feuer, Krise, Gewalt - Beweis, Polizei, Müll - Radikal, Akten, Macht - Krieg, Unheil, Zerstörung - Akten, Unterlagen, Schredder - Feuer, Rauch, Täter - Bombe, Feuer, Eisenbahn - Akten, Krieg, Essen - Zerstörung, Tötung, Vernichtung","Feuer 8 Akten 4 Papier 4 Schredder 4 Beweis 2 Krieg 2 Vernichtung 2 Zerstörung 2 Beweise 1 Bombe 1 Dokumente 1 Eisenbahn 1 Essen 1 Existenz 1 Geheimnis 1 Gewalt 1 Holz 1 Krise 1 Macht 1 Müll 1 Polizei 1 Radikal 1 Rauch 1 Reisswolf 1 Scheu 1 Täter 1 Tötung 1 Unheil 1 Unterlagen 1"
16,"C",NA,6.6,1.6,2,"Der Friseur hat das Dokument nicht","verbrannt.","Er erfuhr, dass die","Asche","später zur Beweissicherung sichergestellt wurde.","consequence","Für wie wahrscheinlich halten Sie es, dass der Friseur das Dokument verbrannt hat?","nicht","erfahren",NA,NA,NA,NA
16,"D",NA,5.2,3.4,1.9,"Der Friseur hat das Dokument nicht","vernichtet.","Er erfuhr, dass die","Asche","später zur Beweissicherung sichergestellt wurde.","consequence","Für wie wahrscheinlich halten Sie es, dass der Friseur das Dokument verbrannt hat?","nicht","erfahren",NA,NA,NA,NA
18,"A",0.4,6.5,6.7,6.4,"Gestern hat sich das Mädchen das Bein","gebrochen.","Es stellt fest, dass der","Gips","ein bisschen zu eng anliegt.","consequence","Für wie wahrscheinlich halten Sie es, dass sich das Mädchen das Bein gebrochen hat?","niemals","feststellen","Jemand hat sich etwas gebrochen.",2,"Knochen, Gips, Krücke - Knochen, Bein, Gips, Verletzung - Arm, Bein, Arzt, Gips - Fuß, Schmerz, Krankenhaus - Schmerz, Röntgen, Gips - Knochen, Röntgen, Arzt - Arzt, Schiene, Physiotherapie - Genick, Bein, Arm - Bein, Knochen, Arm - Knochen, Arm, Bein, Gips, Krankenhaus - Bein, Arm, Herz - Knochen, Schmerzen, Gips - Knochen, Schmerz, Angst - Schmerzen, Bett, röntgen - Herz, Bein, Arm","Bein 7 Knochen 7 Arm 6 Gips 6 Arzt 3 Schmerz 3 Herz 2 Krankenhaus 2 Röntgen 2 Schmerzen 2 Angst 1 Bett 1 Fuß 1 Genick 1 Krücke 1 Physiotherapie 1 röntgen 1 Schiene 1 Verletzung 1"
18,"B",0,5,5.6,4.2,"Gestern hat sich das Mädchen das Bein","gestoßen.","Es stellt fest, dass der","Gips","ein bisschen zu eng anliegt.","consequence","Für wie wahrscheinlich halten Sie es, dass sich das Mädchen das Bein gebrochen hat?","niemals","feststellen","Jemand hat sich etwas gestoßen.",1,"Verletzung, Versehen, Schmerz - Bein, Fuß, Zeh, Tür - Knie, Kopf, Beule - Knie, Zeh, Blauer Fleck - Zeh, Fuss, Tisch - Blauer Fleck, Schmerz, Unfall - Tisch, Lego, Ecke - Zeh, Wunde, Bruch - Fleck, Schmerz, Salbe - Bein, Zehen, Möbelstück - Knie, Ecke, Schmerz - Schmerz, Unfall, Pflaster - Blessuren, Bein, Schmerz - Ellenbogen, Knochen, Wehweh, Verletzung, Beule - Kleiner Zeh, Türrahmen, Nachts, Schrei","Schmerz 6 Zeh 5 Bein 3 Fleck 3 Knie 3 Beule 2 Blauer 2 Ecke 2 Tisch 2 Unfall 2 Verletzung 2 Blessuren 1 Bruch 1 Ellenbogen 1 Fuss 1 Fuß 1 Kleiner 1 Knochen 1 Kopf 1 Lego 1 Möbelstück 1 Nachts 1 Pflaster 1 Salbe 1 Schrei 1 Tür 1 Türrahmen 1 Versehen 1 Wehweh 1 Wunde 1 Zehen 1"
18,"C",NA,6.5,2.4,2.1,"Das Mädchen hat sich niemals das Bein","gebrochen.","Es stellt fest, dass der","Gips","ein bisschen zu eng anliegt.","consequence","Für wie wahrscheinlich halten Sie es, dass sich das Mädchen das Bein gebrochen hat?","niemals","feststellen",NA,NA,NA,NA
18,"D",NA,5,4.5,1.5,"Das Mädchen hat sich niemals das Bein","gestoßen.","Es stellt fest, dass der","Gips","ein bisschen zu eng anliegt.","consequence","Für wie wahrscheinlich halten Sie es, dass sich das Mädchen das Bein gebrochen hat?","niemals","feststellen",NA,NA,NA,NA
20,"A",0.07,7,6.7,5.7,"Endlich wurde die Bildhauerin","geröntgt.","Sie bestätigt, dass das","Röntgengerät","nur ein paar Sekunden benötigt hat.","instrument","Für wie wahrscheinlich halten Sie es, dass die Bildhauerin geröntgt worden ist?","niemals","bestätigen","Jemand wurde geröntgt.",2,"Knochen, Blei, Arzt - Nacktheit, Bruch, Arzt - Arzt, Gerät, Knochen - Diagnose, Radiologie, Untersuchung - Krebs, Verletzung, Krankenhaus - Arzt, Patient, Röntgengerät - Krankenhaus, Röntgenstrahlung, Strahlenbelastung - Krebs, Brüche, Arztmantel - Bauch, Niere, Leber, Darm, Magen - Medizin, Zahnarzt, Knochenbruch - Zahnarzt, Krankenhaus, Knochenbruch - Krankhaus, Strahlung, Bruch - Untersuchung, Radiologie, Termin - Krankenhaus, Arzt, Knochen - Knochen, Knochenbruch, Krankenhaus, Arzt","Arzt 6 Krankenhaus 5 Knochen 4 Knochenbruch 3 Bruch 2 Krebs 2 Radiologie 2 Untersuchung 2 Zahnarzt 2 Arztmantel 1 Bauch 1 Blei 1 Brüche 1 Darm 1 Diagnose 1 Gerät 1 Krankhaus 1 Leber 1 Magen 1 Medizin 1 Nacktheit 1 Niere 1 Patient 1 Röntgengerät 1 Röntgenstrahlung 1 Strahlenbelastung 1 Strahlung 1 Termin 1 Verletzung 1"
20,"B",0,5.5,6.3,5.3,"Endlich wurde die Bildhauerin","untersucht.","Sie bestätigt, dass das","Röntgengerät","nur ein paar Sekunden benötigt hat.","instrument","Für wie wahrscheinlich halten Sie es, dass die Bildhauerin geröntgt worden ist?","niemals","bestätigen","Jemand wurde untersucht.",1,"Mikroskop, Arzt, Bett, Liege - Arzt, Lupe, Stuhl - Arzt, Vorsorge, Geräte - Arzt, Polizei, Gutachten - Arzt, Kranheit, Diagnose - Doktor, Gesundheit, Symptome, Krankheit, - Arzt, Fahrtüchtigkeit, Polizei, Verdacht, Dieb - Stethoskop, Liege, Messer - Arzt, Polizei, Körper - Arzt, Krankheit, Heilung - Arzt, Krankenhaus, Röntgen - Arzt, Krankheit, Untersuchung - Arzt, Zimmer, Attest - Arzt, Krankheit, Kittel - Arzt, Krankheit, Schmerz","Arzt 13 Krankheit 5 Polizei 3 Liege 2 Attest 1 Bett 1 Diagnose 1 Dieb 1 Doktor 1 Fahrtüchtigkeit 1 Geräte 1 Gesundheit 1 Gutachten 1 Heilung 1 Kittel 1 Körper 1 Kranheit 1 Krankenhaus 1 Lupe 1 Messer 1 Mikroskop 1 Röntgen 1 Schmerz 1 Stethoskop 1 Stuhl 1 Symptome 1 Untersuchung 1 Verdacht 1 Vorsorge 1 Zimmer 1"
20,"C",NA,7,3,1.5,"Die Bildhauerin wurde niemals","geröntgt.","Sie bestätigt, dass das","Röntgengerät","nur ein paar Sekunden benötigt hat.","instrument","Für wie wahrscheinlich halten Sie es, dass die Bildhauerin geröntgt worden ist?","niemals","bestätigen",NA,NA,NA,NA
20,"D",NA,5.5,4.1,1.7,"Die Bildhauerin wurde niemals","untersucht.","Sie bestätigt, dass das","Röntgengerät","nur ein paar Sekunden benötigt hat.","instrument","Für wie wahrscheinlich halten Sie es, dass die Bildhauerin geröntgt worden ist?","niemals","bestätigen",NA,NA,NA,NA
21,"A",0.07,6.7,7,6.1,"Gestern wurde der Fischer","operiert.","Er erfuhr, dass das","Skalpell","äußerst vorsichtig angesetzt worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Fischer operiert worden ist?","niemals","erfahren","Jemand wurde operiert.",1,"OP, Tisch, Klammer - Arzt, Krankenhaus, OP - Arzt, Krankenhaus, Blut, Gesundheit - Arzt, Operation, Wunde - Krankenhaus, Tisch, Saal - Arzt, Narkose, Narbe - Skalpell, Sauger, Lampe - Krankheit, Unfall, Krankenhaus - Knie, Doktor, Chirurg, Gefahr, - Arzt, Narkose, Angst, Krankenhaus, Rücken - Arzt, Operation, Gesundheit - OP, Arzt, Klinik, Narbe - Herz, Chirugie, Krankenhaus - Arzt, Saal, Wunde, Verband, Krankenhaus - Arzt, Patient, OP-Saal","Arzt 9 Krankenhaus 7 OP 3 Gesundheit 2 Narbe 2 Narkose 2 Operation 2 Saal 2 Tisch 2 Wunde 2 Angst 1 Blut 1 Chirugie 1 Chirurg 1 Doktor 1 Gefahr 1 Herz 1 Klammer 1 Klinik 1 Knie 1 Krankheit 1 Lampe 1 OPSaal 1 Patient 1 Rücken 1 Sauger 1 Skalpell 1 Unfall 1 Verband 1"
21,"B",0,4.6,6,5.8,"Gestern wurde der Fischer","behandelt.","Er erfuhr, dass das","Skalpell","äußerst vorsichtig angesetzt worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Fischer operiert worden ist?","niemals","erfahren","Jemand wurde behandelt.",2,"Krankenhaus, Schmerzen, Medizin - Arzt, Wunde, Verband - Krankenhaus, Arzt, Hilfe - Arzt, Krankenwagen, Verband - Patient, Krankheit, Zustand - Arzt, Verband, Medizin - Krankenhaus, Medizin, Diagnose - Tabletten, Bettruhe, Krankenhaus - Untersuchung, Hilfe, Medikamente - Krankenhaus, Arzt, Medikamente - Arzt, Patient, Krankenhaus, Medizin - Krankenhaus, Pfleger, Reha - Arzt, Patient, Praxis, Krankenhaus - Arzt, Medizin, Pflege - Arzt, Krankenhaus, Wunde, Krankheit","Arzt 9 Krankenhaus 9 Medizin 5 Patient 3 Verband 3 Hilfe 2 Krankheit 2 Medikamente 2 Wunde 2 Bettruhe 1 Diagnose 1 Krankenwagen 1 Pflege 1 Pfleger 1 Praxis 1 Reha 1 Schmerzen 1 Tabletten 1 Untersuchung 1 Zustand 1"
21,"C",NA,6.7,3.4,1.2,"Der Fischer wurde niemals","operiert.","Er erfuhr, dass das","Skalpell","äußerst vorsichtig angesetzt worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Fischer operiert worden ist?","niemals","erfahren",NA,NA,NA,NA
21,"D",NA,4.6,4.3,1.8,"Der Fischer wurde niemals","behandelt.","Er erfuhr, dass das","Skalpell","äußerst vorsichtig angesetzt worden war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Fischer operiert worden ist?","niemals","erfahren",NA,NA,NA,NA
22,"A",0.47,7,6.6,6.7,"Eben wurde der Schüler","geimpft.","Er fand, dass die","Spritze","doch recht schmerzhaft gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Schüler geimpft worden ist?","niemals","finden","Jemand wurde geimpft.",2,"Impfung, Arzt, Spritze, Corona - Schutz, Freiheit, Leben - Immunität, Schmerz, Schutz - Virus, Spritze, Genesung - Spritze, Krankheit, Impfstoff - Krankenhaus, Corona, Schutz - Spritze, Pflaster, Stuhl - Impfung, Schutz, Corona - Impfung, Spritze, Nadel, Impfstoff, Arzt - Corona, Masern, Malaria, Spritze, Nebenwirkungen - Typhus, Corona, Pieks, Politik - Fröhlichkeit, Glück, Krankheiten - Risikogruppe, Pflegepersonal, Arzthelferin - Spritze, Arzt, Patient - Corona, Covid, Pandemie, Schutz","Spritze 7 Corona 6 Schutz 5 Arzt 3 Impfung 3 Impfstoff 2 Arzthelferin 1 Covid 1 Freiheit 1 Fröhlichkeit 1 Genesung 1 Glück 1 Immunität 1 Krankenhaus 1 Krankheit 1 Krankheiten 1 Leben 1 Malaria 1 Masern 1 Nadel 1 Nebenwirkungen 1 Pandemie 1 Patient 1 Pflaster 1 Pflegepersonal 1 Pieks 1 Politik 1 Risikogruppe 1 Schmerz 1 Stuhl 1 Typhus 1 Virus 1"
22,"B",0,4.9,5.9,6,"Eben wurde der Schüler","versorgt.","Er fand, dass die","Spritze","doch recht schmerzhaft gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Schüler geimpft worden ist?","niemals","finden","Jemand wurde versorgt.",1,"Krankenhaus, Arzt, Patient - Pfleger, Nahrung, Bett - Wunde, Essen, Trinken - Fieber, Sofa, Decke - Arzt, Freund, Rettung - Krankheit, Arzt, Impfung - Pflege, Körper, Nahrung - Geborgenheit, Aufmerksamkeit, Verwandschaft - Arzt, Krankendienst, Krankenwagen, Erste Hilfe, - Hilfe, Notfall, Bringdienst - Krankenhaus, Heim, Pfleger - Nahrung, Decke, Umarmung - Tropf, Essen, Waschen, Flüssigkeit, Geld - Bier, Fernseher, Plattenbau - Wunde, Essen, Fürsorge","Arzt 4 Essen 3 Nahrung 3 Decke 2 Hilfe 2 Krankenhaus 2 Pfleger 2 Wunde 2 Aufmerksamkeit 1 Bett 1 Bier 1 Bringdienst 1 Erste 1 Fernseher 1 Fieber 1 Flüssigkeit 1 Freund 1 Fürsorge 1 Geborgenheit 1 Geld 1 Heim 1 Impfung 1 Körper 1 Krankendienst 1 Krankenwagen 1 Krankheit 1 Notfall 1 Patient 1 Pflege 1 Plattenbau 1 Rettung 1 Sofa 1 Trinken 1 Tropf 1 Umarmung 1 Verwandschaft 1 Waschen 1"
22,"C",NA,7,3.6,1.4,"Der Schüler wurde niemals","geimpft.","Er fand, dass die","Spritze","doch recht schmerzhaft gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Schüler geimpft worden ist?","niemals","finden",NA,NA,NA,NA
22,"D",NA,4.9,4.8,1.8,"Der Schüler wurde niemals","versorgt.","Er fand, dass die","Spritze","doch recht schmerzhaft gewesen war.","instrument","Für wie wahrscheinlich halten Sie es, dass der Schüler geimpft worden ist?","niemals","finden",NA,NA,NA,NA
23,"A",0.27,6.4,6.9,6.9,"Eine Zeit lang wurde der Politiker im Büro","abgehört.","Der Inspektor berichtet, dass die","Wanze","unter dem Schreibtisch gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass der Politiker abgehört worden ist?","kein+jemals","berichten","Jemand wurde abgehört.",1,"Spion, Überwachung, Staat - NSA, FBI, Telefon - Spion, Geheimdienst, Gespräch - Überwachung, Telefon, Detektiv - Wanze, Telefon, Vertrauen - Wanze, Agent, Telefon - Spionage, Stasi, Detektiv - Telefon, Wanze, Angst - Spitzel, Mikrofon, Wanze - Spion, Handy, USA, Datenschutz - Illegal, Spion, Vorsicht - Mikrofon, Wand, Stasi - Stasi, Spion, Blumenkübel, Kabel, Geheimdienst - Zelle, Mikrofon, Uniform - Stasi, Überwachung, Lauschgerät, Kopfhörer","Spion 5 Telefon 5 Stasi 4 Wanze 4 Mikrofon 3 Überwachung 3 Detektiv 2 Geheimdienst 2 Agent 1 Angst 1 Blumenkübel 1 Datenschutz 1 FBI 1 Gespräch 1 Handy 1 Illegal 1 Kabel 1 Kopfhörer 1 Lauschgerät 1 NSA 1 Spionage 1 Spitzel 1 Staat 1 Uniform 1 USA 1 Vertrauen 1 Vorsicht 1 Wand 1 Zelle 1"
23,"B",0,4.7,7,5.8,"Eine Zeit lang wurde der Politiker im Büro","überprüft.","Der Inspektor berichtet, dass die","Wanze","unter dem Schreibtisch gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass der Politiker abgehört worden ist?","kein+jemals","berichten","Jemand wurde überprüft.",2,"Prüfung, Überwachung, Dokumente - Zeugnis, Leistung, Vergehen - Richtigkeit, Recht, Ordnung - Papiere, Ausweis, Polizei - Stasi, Überwachung, Handy - Alibi, Bewerbung, Zeugenaussage - Polizei, Ausweis, Identität - Stasi, Regime, Nazi - Polizei, Pass, Grenze - Ordnungsamt, Behörde, Prüfer - Polizei, Ausweis, Kontrolle - Flughafen, Flugticket, Sicherheitskontrolle - Ausweis, Identität, Verdacht - Daten, System, Polizei - Polizei, Verbrechen, Personalausweis","Polizei 6 Ausweis 4 Identität 2 Stasi 2 Überwachung 2 Alibi 1 Behörde 1 Bewerbung 1 Daten 1 Dokumente 1 Flughafen 1 Flugticket 1 Grenze 1 Handy 1 Kontrolle 1 Leistung 1 Nazi 1 Ordnung 1 Ordnungsamt 1 Papiere 1 Pass 1 Personalausweis 1 Prüfer 1 Prüfung 1 Recht 1 Regime 1 Richtigkeit 1 Sicherheitskontrolle 1 System 1 Verbrechen 1 Verdacht 1 Vergehen 1 Zeugenaussage 1 Zeugnis 1"
23,"C",NA,6.4,5.4,2.6,"Kein Politiker wurde jemals im Büro","abgehört.","Der Inspektor berichtet, dass die","Wanze","unter dem Schreibtisch gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Politiker abgehört worden ist?","kein+jemals","berichten",NA,NA,NA,NA
23,"D",NA,4.7,4.3,2.8,"Kein Politiker wurde jemals im Büro","überprüft.","Der Inspektor berichtet, dass die","Wanze","unter dem Schreibtisch gefunden wurde.","instrument","Für wie wahrscheinlich halten Sie es, dass ein Politiker abgehört worden ist?","kein+jemals","berichten",NA,NA,NA,NA
24,"A",0.73,6.9,6.5,7,"Vor kurzem hat sich die Ehefrau","infiziert.","Sie sagt, dass das","Virus","wohl leider anhaltende gesundheitliche Probleme verursacht hat.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Ehefrau infiziert hat?","nie","sagen","Jemand hat sich infiziert.",2,"Covid-19, Virus, Krankheit, Krankenhaus - Virus, Krankheit, Spritze - Virus, Krankheit, Test - Bakterien, Viren | Virus, Krankheit - Virus, Krankheit, Quarantäne - Corona, Virus, Bakterien - HIV, Corona, Impfung - Virus, Bakterien, Krankheit - Corona, Covid, Virus, Krankheit, Quarantäne - Krankheit, Husten, Ansteckung - Krankheit, Corona, Viren | Virus, Bakterien - Krankheit, Virus, Ansteckung - Virus, Gefahr, Isolation - Ansteckung, Krankheit, Übertragung - Zombie, Krankheit, Tod","Krankheit 12 Virus 11 Bakterien 4 Corona 4 Ansteckung 3 Quarantäne 2 Viren 2 Covid 1 Covid19 1 Gefahr 1 HIV 1 Husten 1 Impfung 1 Isolation 1 Krankenhaus 1 Spritze 1 Test 1 Tod 1 Übertragung 1 Zombie 1"
24,"B",0.07,6.2,6.6,6,"Vor kurzem ist die Ehefrau","erkrankt.","Sie sagt, dass das","Virus","wohl leider anhaltende gesundheitliche Probleme verursacht hat.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Ehefrau infiziert hat?","nie","sagen","Jemand ist erkrankt.",1,"Arzt, Fieber, Krankenhaus - Fieber, Medizin, Bett - Krankenhaus, Arzt, Bett - Schwere, Arzt, Medizin - Krebs, Grippe, Ernsthaftigkeit, - Krankenhaus, Operation, Krebs, Grippe, Viren | Virus, Spritze - Ingwer, Infusion, Bett - Erkältung, Corona, Ansteckung - Arzt, Behandlung, Krankschreibung - Krebs, Arzt, Praxis - Krankheit, Schmerzen, Erkältung - Tod, Bett, Medizin - Fieber, Husten, Heiterkeit - Schmerzen, Unwohlsein, Fieber, Schnupfen, Corona - Arzt, Medizin, Krankenhaus","Arzt 6 Bett 4 Fieber 4 Krankenhaus 4 Medizin 4 Krebs 3 Corona 2 Erkältung 2 Grippe 2 Schmerzen 2 Ansteckung 1 Behandlung 1 Ernsthaftigkeit 1 Heiterkeit 1 Husten 1 Infusion 1 Ingwer 1 Krankheit 1 Krankschreibung 1 Operation 1 Praxis 1 Schnupfen 1 Schwere 1 Spritze 1 Tod 1 Unwohlsein 1 Viren 1 Virus 1"
24,"C",NA,6.9,3.7,2,"Die Ehefrau hat sich nie","infiziert.","Sie sagt, dass das","Virus","wohl leider anhaltende gesundheitliche Probleme verursacht hat.","instrument","Für wie wahrscheinlich halten Sie es, dass sich die Ehefrau infiziert hat?","nie","sagen",NA,NA,NA,NA
